generation,best_fitness
0,24
1,24
2,26
3,26
4,26
5,26
6,26
7,26
8,28
9,28
10,29
11,29
12,29
13,29
14,29
15,29
16,29
17,29
18,29
19,29
20,29
21,29
22,29
23,29
24,29
25,29
26,29
27,29
28,29
29,29
30,29
31,29
32,29
33,29
34,29
35,29
36,29
37,30
38,30
39,30
40,30
41,30
42,30
43,30
44,30
45,30
46,30
47,30
48,30
49,30
50,30
51,30
52,30
53,30
54,30
55,30
56,30
57,30
58,30
59,30
60,30
61,30
62,30
63,30
64,30
65,30
66,30
67,30
68,30
69,30
70,30
71,30
72,30
73,30
74,30
75,30
76,30
77,30
78,30
79,30
80,30
81,30
82,30
83,30
84,30
85,30
86,30
87,30
88,30
89,30
90,30
91,30
92,30
93,30
94,30
95,30
96,30
97,30
98,30
99,30
100,30
101,30
102,30
103,30
104,30
105,30
106,30
107,30
108,30
109,30
110,30
111,30
112,30
113,30
114,30
115,30
116,30
117,30
118,30
119,30
120,30
121,30
122,30
123,30
124,30
125,30
126,30
127,30
128,30
129,30
130,30
131,30
132,30
133,30
134,30
135,30
136,30
137,30
138,30
139,30
140,30
141,30
142,30
143,30
144,30
145,30
146,30
147,31
148,31
149,31
150,31
151,31
152,31
153,31
154,31
155,31
156,31
157,31
158,31
159,31
160,31
161,31
162,31
163,31
164,31
165,31
166,31
167,31
168,31
169,31
170,31
171,31
172,31
173,31
174,31
175,31
176,31
177,31
178,31
179,31
180,31
181,31
182,31
183,31
184,31
185,31
186,31
187,31
188,31
189,31
190,31
191,31
192,31
193,31
194,31
195,31
196,31
197,31
198,31
199,31
200,31
201,31
202,31
203,31
204,31
205,31
206,31
207,31
208,31
209,31
210,31
211,31
212,31
213,31
214,31
215,31
216,31
217,31
218,31
219,31
220,31
221,31
222,31
223,31
224,31
225,31
226,31
227,31
228,31
229,31
230,31
231,31
232,31
233,31
234,31
235,31
236,31
237,31
238,31
239,31
240,31
241,31
242,31
243,31
244,31
245,31
246,31
247,31
248,31
249,31
250,31
251,31
252,31
253,31
254,31
255,31
256,31
257,31
258,31
259,31
260,31
261,31
262,31
263,31
264,31
265,31
266,31
267,31
268,31
269,31
270,31
271,31
272,31
273,31
274,31
275,31
276,31
277,31
278,31
279,31
280,31
281,31
282,31
283,31
284,31
285,31
286,31
287,31
288,31
289,31
290,31
291,31
292,31
293,31
294,31
295,31
296,31
297,31
298,31
299,31
300,31
301,31
302,31
303,31
304,31
305,31
306,31
307,31
308,31
309,31
310,31
311,31
312,31
313,31
314,31
315,31
316,31
317,31
318,31
319,31
320,31
321,31
322,31
323,31
324,31
325,31
326,31
327,31
328,31
329,31
330,31
331,31
332,31
333,31
334,31
335,31
336,31
337,31
338,31
339,31
340,31
341,31
342,31
343,31
344,31
345,31
346,31
347,31
348,31
349,31
350,31
351,31
352,31
353,31
354,31
355,31
356,31
357,31
358,31
359,31
360,31
361,31
362,31
363,31
364,31
365,31
366,31
367,31
368,31
369,31
370,31
371,31
372,31
373,31
374,31
375,31
376,31
377,31
378,31
379,31
380,31
381,31
382,31
383,31
384,31
385,31
386,31
387,31
388,31
389,31
390,31
391,31
392,31
393,31
394,31
395,31
396,31
397,31
398,31
399,31
400,31
401,31
402,31
403,31
404,31
405,31
406,31
407,31
408,31
409,31
410,31
411,31
412,31
413,31
414,31
415,31
416,31
417,31
418,31
419,31
420,31
421,31
422,31
423,31
424,31
425,31
426,31
427,31
428,31
429,31
430,31
431,31
432,31
433,31
434,31
435,31
436,31
437,31
438,31
439,31
440,31
441,31
442,31
443,31
444,31
445,31
446,31
447,31
448,31
449,31
450,31
451,31
452,31
453,31
454,31
455,31
456,31
457,31
458,31
459,31
460,31
461,31
462,31
463,31
464,31
465,31
466,31
467,31
468,31
469,31
470,31
471,31
472,31
473,31
474,31
475,31
476,31
477,31
478,31
479,31
480,31
481,31
482,31
483,31
484,31
485,32
